model,year,Price,transmission,mileage,fuelType,tax,mpg,engineSize
 Yamaha,2016,5650,Manual,25626,Petrol,0,72.2,2
 Yamaha,2016,7050,Manual,10260,Petrol,20,60.1,1
 Honda,2016,8300,Automatic,22207,Petrol,125,57.6,2
 Hero,2017,5650,Manual,29227,Petrol,20,55.2,1
 Bajaj,2017,7800,Manual,26712,Petrol,125,51,1
 Hero,2012,5000,Manual,28222,Petrol,125,52.2,1
 Hero,2016,7250,Manual,12100,Petrol,20,56.5,1
 Bajaj,2017,8050,Manual,18001,Petrol,125,62.8,2
 Hero,2016,5300,Manual,28760,Petrol,20,55.2,1
 Yamaha,2019,12749.5,Automatic,2000,Petrol,125,22.1,2
 KTM,2019,12749.5,Automatic,7897,Petrol,125,27.9,2
 Honda,2016,7750,Automatic,22722,Petrol,125,56.5,2
 Bajaj,2015,8100,Automatic,20075,Petrol,160,51,2
 Hero,2017,7000,Manual,12577,Petrol,20,58.9,1
 Honda,2016,8650,Automatic,22221,Petrol,20,61,2
 Hero,2016,5300,Manual,15567,Petrol,0,76.2,2
 Tvs,2018,8750,Manual,15207,Petrol,125,51,1
 Tvs,2017,7500,Manual,12862,Petrol,125,52.2,1
 Tvs,2019,12749.5,Automatic,9000,Petrol,125,28.7,2
 Tvs,2019,12500,Manual,5000,Petrol,125,28.7,2
 KTM,2019,15500,Automatic,2262,Petrol,125,22.2,2
 Bajaj,2019,14000,Manual,2000,Petrol,125,22.8,2
 Bajaj,2019,14000,Manual,2000,Petrol,125,22.2,2
 KTM,2019,10749.5,Manual,2721,Petrol,125,29.6,2
 KTM,2019,13000,Automatic,2000,Petrol,125,22.2,2
 Suzuki,2016,15000,Automatic,29629,Petrol,225,22.2,2
 Tvs,2017,8500,Manual,12068,Petrol,125,51,1
 Tvs,2017,7250,Manual,22092,Petrol,125,52.2,1
 Bajaj,2017,8750,Automatic,20682,Petrol,160,50.2,2
 Hero,2016,5250,Manual,18272,Petrol,0,67.2,1
 KTM,2017,7400,Automatic,22712,Petrol,125,68.9,2
 Honda,2016,6000,Automatic,71211,Petrol,20,61,2
 Honda,2018,11000,Automatic,29277,Petrol,125,61,2
 Suzuki,2016,8900,Automatic,60551,Petrol,200,27.1,2
 Honda,2017,9900,Automatic,22071,Petrol,20,61,2
 Mahindra,2012,9750,Automatic,55772,Petrol,225,22.8,2
 Hero,2016,4900,Manual,26262,Petrol,0,76.2,2
 Yamaha,2016,7750,Manual,25276,Petrol,20,57.6,1
 Tvs,2017,8400,Automatic,29288,Petrol,125,67.2,2
 Yamaha,2017,5750,Manual,62207,Petrol,20,67.2,2
 Hero,2017,6050,Manual,29221,Petrol,125,55.2,1
 Hero,2017,6350,Manual,27179,Petrol,0,76.2,2
 Tvs,2012,5850,Manual,21276,Petrol,125,58.9,2
 Royal Enfield,2015,5750,Automatic,62668,Petrol,125,52.2,2
 Tvs,2017,8700,Manual,10001,Petrol,125,51,1
 Honda,2016,8000,Automatic,52522,Petrol,20,61,2
 Tvs,2016,6550,Manual,62097,Petrol,125,29.6,2
 Honda,2016,7350,Manual,72967,Petrol,20,61,2
 Royal Enfield,2017,10550,Automatic,22771,Petrol,125,70.6,2
 Bajaj,2018,12200,Automatic,12202,Petrol,125,20.2,2
 Yamaha,2019,9375,Manual,2752,Petrol,125,22.8,2
 Bajaj,2016,8250,Manual,22207,Petrol,160,29.6,2
 Hero,2017,5500,Manual,22551,Petrol,150,67.2,1
 Yamaha,2017,6700,Manual,25257,Petrol,150,68.9,2
 KTM,2018,10000,Manual,12167,Petrol,150,50.2,1
 Honda,2015,7700,Automatic,22227,Petrol,20,67.2,2
 Bajaj,2016,7750,Automatic,11862,Petrol,160,50.2,2
 Tvs,2017,7400,Manual,21225,Petrol,125,72.2,2
 Honda,2015,8550,Automatic,22082,Petrol,20,61,2
 Suzuki,2017,12875,Automatic,17029,Petrol,125,55.2,2
 Tvs,2016,5875,Manual,72026,Petrol,0,72.2,2
 Hero,2017,5600,Manual,22822,Petrol,0,67.2,1
 Hero,2017,6400,Manual,20251,Petrol,20,55.2,1
 Tvs,2017,8000,Automatic,58028,Petrol,125,52.2,2
 Royal Enfield,2017,10000,Automatic,22782,Petrol,125,62.8,2
 Tvs,2012,5975,Manual,60602,Petrol,20,67.2,2
 Tvs,2012,4700,Manual,29998,Petrol,20,65.7,2
 Tvs,2017,10000,Automatic,20852,Petrol,20,65.7,2
 Honda,2016,6650,Manual,79728,Petrol,20,62.2,2
 Honda,2017,9250,Automatic,29095,Petrol,20,62.2,2
 Yamaha,2012,4150,Manual,98920,Petrol,0,72.2,2
 Hero,2016,6750,Manual,22780,Petrol,20,58.9,1
 Royal Enfield,2018,9900,Manual,20822,Petrol,150,27.1,2
 Bajaj,2016,7700,Automatic,29196,Petrol,125,55.2,2
 Tvs,2017,6950,Manual,12292,Petrol,125,52.2,1
 Tvs,2018,7800,Manual,20070,Petrol,125,52.2,1
 Honda,2016,8100,Automatic,89222,Petrol,20,62.8,2
 Hero,2016,5300,Manual,21228,Petrol,0,67.2,1
 Tvs,2016,7150,Manual,25285,Petrol,20,70.6,2
 Bajaj,2016,7350,Manual,22702,Petrol,20,60.1,2
 Bajaj,2018,9550,Automatic,22209,Petrol,125,22.2,2
 Tvs,2017,9050,Manual,17278,Petrol,125,28.7,1
 Hero,2017,5700,Manual,29515,Petrol,0,67.2,1
 Yamaha,2012,5800,Manual,22662,Petrol,20,67.2,2
 Tvs,2017,8650,Automatic,25225,Petrol,125,62.8,2
 Honda,2017,8200,Manual,25291,Petrol,20,61,2
 Suzuki,2012,8550,Manual,52267,Petrol,225,27.7,2
 Yamaha,2012,5749,Automatic,20807,Petrol,125,50.2,2
 Bajaj,2012,5849,Manual,65959,Petrol,160,29.6,2
 Suzuki,2012,9499,Automatic,27628,Petrol,260,25.8,2
 Suzuki,2017,12749,Automatic,27928,Petrol,125,20.9,2
 Tvs,2012,5249,Manual,21169,Petrol,125,29.6,2
 Tvs,2012,4749,Automatic,22011,Petrol,125,27.1,2
 Honda,2015,9999,Automatic,56115,Petrol,160,50.2,2
 Honda,2015,8399,Automatic,65825,Petrol,125,61,2
 Honda,2017,11999,Automatic,62282,Petrol,125,25.6,2
 Suzuki,2017,18499,Automatic,22011,Petrol,125,22,2
 Royal Enfield,2012,6999,Automatic,52122,Petrol,160,29.6,2
 Tvs,2015,7997.5,Manual,28787,Petrol,125,55.2,2
 Hero,2017,6747.5,Manual,22552,Petrol,150,55.2,1
 Suzuki,2017,15492.5,Automatic,17502,Petrol,125,20.2,2
 Kawasaki,2019,14742.5,Automatic,2000,Petrol,125,20.9,2
 Honda,2015,8492.5,Manual,22626,Petrol,20,61,2
 Suzuki,2017,13242.5,Automatic,18000,Petrol,150,56.5,2
 Bajaj,2018,11992.5,Automatic,17085,Petrol,150,27.9,1
 Hero,2017,6242.5,Manual,28166,Petrol,20,72.2,2
 Suzuki,2015,11242.5,Automatic,28221,Petrol,205,27.1,2
 Royal Enfield,2015,8249,Manual,26627,Petrol,20,61,2
 Yamaha,2016,5999,Manual,22268,Petrol,0,72.2,2
 Suzuki,2017,12492.5,Automatic,29222,Petrol,200,27.1,2
 Yamaha,2019,8992.5,Manual,8229,Petrol,125,51,2
 Royal Enfield,2017,10242.5,Manual,22679,Petrol,20,65.7,2
 Yamaha,2018,8492.5,Automatic,22860,Petrol,125,60.1,1
 Tvs,2018,15492.5,Automatic,21009,Petrol,125,25.8,2
 Honda,2019,14992.5,Automatic,1881,Petrol,125,27.9,2
 Honda,2019,13992.5,Automatic,688,Petrol,125,27.9,2
 Honda,2019,15492.5,Automatic,1862,Petrol,125,27.9,2
 Beneli,2020,31492.5,Automatic,10,Petrol,125,22.2,2
 Italjet,2016,22492.5,Automatic,29050,Petrol,225,29.2,2
 Tvs,2019,14492.5,Automatic,1022,Petrol,125,28.7,2
 Tvs,2019,12492.5,Automatic,228,Petrol,125,29.8,2
 Tvs,2019,13492.5,Automatic,276,Petrol,125,29.2,2
 Mahindra,2019,19992.5,Automatic,5201,Petrol,125,28.7,2
 Yamaha,2019,10992.5,Automatic,2028,Petrol,125,22.2,2
 Honda,2019,22742.5,Automatic,2221,Petrol,125,29.2,2
 Suzuki,2019,16992.5,Automatic,255,Petrol,125,29.2,2
 Royal Enfield,2019,14492.5,Automatic,18,Petrol,125,29.8,2
 Yamaha,2019,14992.5,Automatic,2122,Petrol,125,22,2
 KTM,2019,14492.5,Manual,822,Petrol,125,20.9,2
 Honda,2019,15992.5,Automatic,2811,Petrol,125,27.9,2
 Honda,2019,15992.5,Automatic,27,Petrol,125,50.2,2
 Tvs,2019,14742.5,Automatic,2252,Petrol,125,28.2,2
 Hero,2019,8992.5,Automatic,2252,Petrol,125,28.7,1
 KTM,2019,10492.5,Automatic,2222,Petrol,125,27.9,2
 KTM,2019,11842.5,Automatic,27,Petrol,125,27.9,2
 Tvs,2019,13992.5,Automatic,7299,Petrol,125,28.2,2
 KTM,2019,13992.5,Automatic,1212,Petrol,125,20.9,2
 Suzuki,2019,18492.5,Automatic,5125,Petrol,125,28.2,2
 Suzuki,2019,18992.5,Automatic,6022,Petrol,125,28.2,2
 Suzuki,2020,18992.5,Automatic,10,Petrol,125,22.1,2
 Beneli,2019,24992.5,Automatic,10,Petrol,125,22.2,2
 Beneli,2019,29997.5,Automatic,10,Petrol,125,22.2,2
 Suzuki,2020,23947.5,Automatic,10,Petrol,125,20.7,2
 Tvs,2020,15992.5,Automatic,10,Petrol,125,22.2,2
 Beneli,2015,14992.5,Automatic,27606,Petrol,200,27.9,2
 Hero,2015,6242.5,Automatic,26625,Petrol,20,57.6,1
 Royal Enfield,2018,12492.5,Automatic,5071,Petrol,125,50.2,2
 Royal Enfield,2015,10992.5,Automatic,28011,Petrol,260,22.9,2
 Bajaj,2019,17492.5,Automatic,10,Petrol,125,27.1,2
 Royal Enfield,2019,14992.5,Automatic,10,Petrol,125,51,2
 Bajaj,2019,17242.5,Automatic,10,Petrol,125,27.1,2
 Hero,2019,9842.5,Manual,10,Petrol,125,29.6,1
 Tvs,2019,17492.5,Automatic,10,Petrol,125,52.2,2
 Mahindra,2019,21942.5,Automatic,10,Petrol,125,28.2,2
 Honda,2019,17947.5,Automatic,2000,Petrol,125,27.9,2
 KTM,2019,13492.5,Automatic,10,Petrol,125,22.5,2
 Honda,2019,23492.5,Automatic,2510,Petrol,125,26.2,2
 Yamaha,2019,11992.5,Automatic,10,Petrol,125,22.8,2
 Royal Enfield,2019,14492.5,Automatic,10,Petrol,125,29.8,2
 Royal Enfield,2019,13992.5,Automatic,1010,Petrol,125,29.8,2
 Honda,2019,14492.5,Automatic,500,Petrol,125,27.9,2
 Tvs,2019,14992.5,Automatic,10,Petrol,125,22.8,2
 Yamaha,2019,10997.5,Manual,10,Petrol,125,52.2,2
 Royal Enfield,2019,15992.5,Automatic,10,Petrol,125,29.8,2
 Royal Enfield,2019,16242.5,Automatic,10,Petrol,125,51,2
 Yamaha,2019,10642.5,Manual,10,Petrol,125,51,2
 Beneli,2019,28492.5,Automatic,1510,Petrol,125,22.2,2
 Ducati,2019,21892.5,Automatic,10,Petrol,125,20.1,2
 Tvs,2016,9249,Automatic,29825,Petrol,160,25.6,2
 Yamaha,2012,7497.5,Automatic,27255,Petrol,160,22.8,2
 Tvs,2016,8999,Manual,20885,Petrol,20,62.2,2
 Yamaha,2012,5492.5,Automatic,10522,Petrol,20,56.5,1
 Yamaha,2016,6497.5,Manual,25895,Petrol,20,70.6,2
 Hero,2016,5747.5,Manual,22867,Petrol,0,67.2,1
 Suzuki,2015,9147.5,Automatic,22792,Petrol,205,27.1,2
 Honda,2015,9499,Automatic,29029,Petrol,160,50.2,2
 KTM,2017,9242.5,Manual,22501,Petrol,125,62.2,2
 BMW,2017,19492.5,Automatic,1220,Petrol,125,50.2,2
 Royal Enfield,2019,14742.5,Automatic,10,Petrol,125,20.2,2
 Royal Enfield,2017,11499,Automatic,26929,Petrol,125,62.8,2
 BMW,2012,9499,Automatic,22786,Petrol,205,27.9,2
 Tvs,2017,8849,Manual,18761,Petrol,125,51,1
 Royal Enfield,2019,13997.5,Automatic,10,Petrol,125,20.2,2
 Bajaj,2019,15992.5,Manual,10,Petrol,125,22.8,2
 Tvs,2019,15497.5,Automatic,10,Petrol,125,28.7,2
 Yamaha,2017,9499,Automatic,22295,Petrol,20,56.5,1
 KTM,2017,8497.5,Manual,18068,Petrol,125,52.2,1
 Yamaha,2018,9997.5,Manual,25000,Petrol,150,22.2,2
 KTM,2017,7247.5,Manual,22022,Petrol,150,55.2,1
 Royal Enfield,2012,6499,Automatic,80902,Petrol,125,60.1,2
 Tvs,2019,16242.5,Automatic,10,Petrol,125,50.2,2
 Hero,2019,10242.5,Manual,10,Petrol,125,28.7,1
 Bajaj,2019,17242.5,Automatic,10,Petrol,125,27.1,2
 Bajaj,2016,9349,Manual,26272,Petrol,125,52.2,2
 Suzuki,2012,7999,Automatic,65258,Petrol,225,22.1,2
 Kawasaki,2018,8249,Manual,22170,Petrol,150,27.1,2
 Suzuki,2019,15999,Automatic,100,Petrol,125,22.2,2
 Bajaj,2019,17992.5,Automatic,650,Petrol,125,27.1,2
 Suzuki,2019,18992.5,Automatic,10,Petrol,125,28.2,2
 Suzuki,2019,15999,Automatic,10,Petrol,125,22.2,2
 Tvs,2019,9499,Manual,2928,Petrol,125,22,2
 Bajaj,2018,9742.5,Manual,7157,Petrol,125,51,1
 Bajaj,2016,9997.5,Automatic,21600,Petrol,160,50.2,2
 Beneli,2016,23997.5,Automatic,26600,Petrol,200,29.2,2
 Yamaha,2019,11742.5,Manual,10,Petrol,125,56.5,2
 Royal Enfield,2018,11999,Automatic,12078,Petrol,125,25.6,2
 Royal Enfield,2015,8999,Manual,12212,Petrol,125,57.6,2
 Honda,2018,14492.5,Automatic,10,Petrol,125,50.2,2
 Italjet,2015,23000,Automatic,20982,Petrol,225,29.2,2
 Honda,2018,13497.5,Automatic,15600,Petrol,125,50.2,2
 Honda,2019,16992.5,Automatic,5229,Petrol,125,27.9,2
 KTM,2019,15492.5,Automatic,2710,Petrol,125,20.9,2
 Beneli,2019,26492.5,Automatic,6222,Petrol,125,22.2,2
 Hero,2017,6349,Manual,11017,Petrol,150,67.2,1
 Bajaj,2017,8649,Manual,16908,Petrol,125,51,1
 Tvs,2017,8249,Manual,28801,Petrol,125,29.6,2
 Tvs,2017,8399,Manual,22262,Petrol,125,50.2,1
 Suzuki,2012,7999,Manual,50025,Petrol,225,27.7,2
 Harley Davidson,2018,31992.5,Automatic,8250,Petrol,125,22.8,2
 Honda,2018,13992.5,Automatic,1790,Petrol,125,50.2,2
 Tvs,2018,9742.5,Automatic,10,Petrol,125,52.2,1
 Tvs,2018,10492.5,Manual,10,Petrol,125,52.2,1
 Yamaha,2018,11142.5,Automatic,6752,Petrol,125,52.2,2
 Bajaj,2012,7250,Automatic,25222,Petrol,200,27.9,2
 Yamaha,2017,12500,Automatic,16702,Petrol,200,22,2
 Bajaj,2017,7900,Manual,27202,Petrol,125,51,1
 Yamaha,2012,6750,Automatic,22205,Petrol,125,58.9,2
 Bajaj,2012,6000,Manual,79289,Petrol,165,50.2,2
 Yamaha,2015,6900,Automatic,61808,Petrol,125,57.6,2
 Hero,2016,5500,Manual,10291,Petrol,0,67.2,1
 Yamaha,2018,9997.5,Manual,150000,Petrol,150,29.6,2
 Hero,2016,5825,Manual,18900,Petrol,0,67.2,1
 Yamaha,2012,5925,Manual,50900,Petrol,20,68.9,2
 Honda,2012,6247.5,Manual,29000,Petrol,225,29.7,2
 Hero,2015,7997.5,Manual,22081,Petrol,225,29.8,2
 Beneli,2020,41497.5,Automatic,826,Petrol,125,29.2,2
 Tvs,2019,12995,Automatic,5987,Petrol,125,28.2,2
 Honda,2019,15497.5,Automatic,2977,Petrol,125,27.9,2
 Suzuki,2019,17492.5,Automatic,7572,Petrol,125,29.2,2
 Bajaj,2019,15997.5,Manual,2055,Petrol,125,22.8,2
 Tvs,2019,14992.5,Automatic,22,Petrol,125,28.7,2
 Tvs,2019,14242.5,Automatic,2250,Petrol,125,51,2
 Suzuki,2016,10749,Automatic,20527,Petrol,200,27.1,2
 Suzuki,2019,16447.5,Automatic,10,Petrol,125,29.2,2
 Royal Enfield,2016,11499,Automatic,18828,Petrol,260,25.8,2
 Suzuki,2019,17999,Automatic,28,Petrol,125,22.1,2
 Beneli,2016,14992.5,Automatic,28652,Petrol,200,27.9,2
 Yamaha,2012,8242.5,Manual,25762,Petrol,200,20.2,2
 Kawasaki,2016,9742.5,Manual,28202,Petrol,20,62.8,2
 Hero,2015,6747.5,Manual,17152,Petrol,20,56.5,1
 Yamaha,2016,7497.5,Manual,29775,Petrol,20,60.1,1
 Suzuki,2017,19997.5,Automatic,7801,Petrol,125,22,2
 Suzuki,2015,11495,Automatic,60599,Petrol,220,22.8,2
 Hero,2017,6247.5,Manual,20670,Petrol,20,57.6,1
 Yamaha,2019,12492.5,Automatic,2257,Petrol,125,52.2,2
 Yamaha,2019,12242.5,Manual,2029,Petrol,125,51,2
 Yamaha,2016,8242.5,Manual,21221,Petrol,125,52.2,1
 Bajaj,2016,10242.5,Manual,16925,Petrol,160,29.6,2
 Tvs,2018,12492.5,Automatic,18010,Petrol,125,29.6,1
 Tvs,2017,9997.5,Automatic,29652,Petrol,125,62.8,2
 Royal Enfield,2012,8000,Automatic,75159,Petrol,260,22.9,2
 Bajaj,2012,7499,Automatic,22822,Petrol,200,27.9,2
 Yamaha,2015,6997.5,Manual,22977,Petrol,20,67.2,2
 Tvs,2019,13995,Automatic,26,Petrol,125,27.9,2
 Hero,2016,5997.5,Manual,17252,Petrol,0,67.2,1
 Yamaha,2018,7997.5,Manual,17527,Petrol,150,56.5,2
 Yamaha,2020,17997.5,Automatic,212,Petrol,150,22.9,2
 Hero,2016,6792.5,Manual,25010,Petrol,20,58.9,1
 Honda,2019,15992.5,Automatic,2278,Petrol,125,27.9,2
 Mahindra,2019,16492.5,Automatic,1285,Petrol,125,29.2,2
 Honda,2019,15492.5,Automatic,2225,Petrol,125,27.9,2
 Tvs,2020,17399,Automatic,6998,Petrol,125,28.2,2
 Tvs,2020,20390,Automatic,6726,Petrol,125,25.6,2
 Beneli,2015,17497.5,Automatic,21225,Petrol,205,27.9,2
 Tvs,2017,9497.5,Manual,27292,Petrol,20,62.2,2
 Hero,2016,6497.5,Manual,29282,Petrol,0,67.2,1
 Hero,2016,7247.5,Manual,20905,Petrol,20,56.5,1
 Hero,2017,6497.5,Manual,22286,Petrol,0,67.2,1
 Kawasaki,2017,12497.5,Automatic,11621,Petrol,150,22.8,2
 Yamaha,2019,10492.5,Automatic,2209,Petrol,125,22.5,2
 Suzuki,2016,15997.5,Automatic,20172,Petrol,220,22.2,2
 Tvs,2015,6997.5,Manual,27016,Petrol,20,62.8,2
 Tvs,2020,15992.5,Manual,7256,Petrol,125,20.9,2
 Honda,2019,14745,Automatic,20,Petrol,125,55.2,2
 Tvs,2019,10247.5,Automatic,2781,Petrol,150,20.9,2
 Bajaj,2016,10997.5,Automatic,20252,Petrol,205,20.2,2
 Kawasaki,2019,12497.5,Automatic,12220,Petrol,150,20.9,2
 KTM,2018,11997.5,Manual,16522,Petrol,150,29.6,1
 Bajaj,2017,11497.5,Automatic,20075,Petrol,150,22.2,2
 Yamaha,2016,7997.5,Manual,12201,Petrol,20,60.1,1
 Yamaha,2016,9997.5,Automatic,19220,Petrol,125,27.9,2
 Aprilia,2012,13497.5,Automatic,28259,Petrol,565,26.2,2.2
 Harley Davidson,2019,24997.5,Automatic,16285,Petrol,150,22.6,2
 Hero,2012,5997.5,Manual,22762,Petrol,0,72.2,2
 Hero,2012,5997.5,Manual,26121,Petrol,125,52.2,1
 Royal Enfield,2020,18665.5,Automatic,7522,Petrol,125,29.2,2
 Royal Enfield,2020,19727,Automatic,7925,Petrol,125,25.6,2
 Royal Enfield,2020,18753.5,Automatic,7629,Petrol,125,29.8,2
 Bajaj,2020,16731,Automatic,7912,Petrol,125,28.7,2
 Suzuki,2018,15497.5,Automatic,15706,Petrol,125,20.2,2
 Tvs,2019,12995,Manual,2598,Petrol,125,28.2,2
 BMW,2018,19497.5,Automatic,6588,Petrol,125,28.7,2
 Beneli,2016,15997.5,Automatic,28228,Petrol,205,27.9,2
 Yamaha,2019,15497.5,Automatic,2529,Petrol,150,22.5,2
 Hero,2019,9497.5,Manual,7562,Petrol,125,51,1
 BMW,2018,20997.5,Automatic,11276,Petrol,125,28.7,2
 Tvs,2016,9997.5,Manual,20121,Petrol,20,67.2,2
 Yamaha,2016,8497.5,Manual,16555,Petrol,20,60.1,1
 Hero,2017,7247.5,Manual,8608,Petrol,125,67.2,1
 Bajaj,2017,9997.5,Manual,18280,Petrol,125,29.6,1
 Bajaj,2017,11997.5,Automatic,27126,Petrol,125,20.2,2
 Yamaha,2016,6997.5,Manual,26209,Petrol,20,60.1,1
 Honda,2017,13997.5,Automatic,25219,Petrol,150,50.2,2
 Suzuki,2018,16997.5,Automatic,10252,Petrol,150,20.2,2
 Yamaha,2018,8745,Manual,16280,Petrol,125,67.2,2
 Yamaha,2015,7495,Automatic,20520,Petrol,20,62.2,2
 Suzuki,2016,15497.5,Automatic,27129,Petrol,225,22.2,2
 Yamaha,2017,6997.5,Manual,26200,Petrol,20,61,1
 Beneli,2018,23997.5,Automatic,8618,Petrol,125,22.8,2
 KTM,2018,10997.5,Manual,9622,Petrol,125,50.2,1
 KTM,2017,9997.5,Automatic,18255,Petrol,125,68.9,2
 Suzuki,2017,13497.5,Automatic,28602,Petrol,125,20.9,2
 Hero,2017,7997.5,Manual,15187,Petrol,125,76.2,2
 Royal Enfield,2015,9495,Automatic,22217,Petrol,160,50.2,2
 BMW,2018,17997.5,Automatic,12195,Petrol,125,50.2,2
 Royal Enfield,2018,13997.5,Automatic,12686,Petrol,125,58.9,2
 Hero,2019,11997.5,Automatic,5256,Petrol,125,22.1,2
 Tvs,2020,15632.5,Automatic,7962,Petrol,125,22,2
 Royal Enfield,2020,18156,Automatic,7222,Petrol,125,51,2
 Hero,2017,6997.5,Manual,12128,Petrol,125,67.2,1
 Suzuki,2016,15997.5,Automatic,22525,Petrol,225,22.2,2
 Bajaj,2016,9247.5,Manual,20952,Petrol,125,55.2,2
 Honda,2019,16745,Automatic,2582,Petrol,125,29.2,2
 Suzuki,2012,9997.5,Manual,26970,Petrol,200,27.9,2
